step,epoch,train_loss_step,lr-Adam,val_loss,train_loss_epoch,test_loss
9600,,,0.001,,,
9649,,,0.001,,,
9649,150,0.2688975930213928,,,,
9663,150,,,0.03780011460185051,,
9663,150,,,,0.23418566584587097,
9664,,,0.001,,,
9699,,,0.001,,,
9699,151,0.257921427488327,,,,
9727,151,,,0.04012194275856018,,
9727,151,,,,0.2328254133462906,
9728,,,0.001,,,
9749,,,0.001,,,
9749,152,0.1715010106563568,,,,
9791,152,,,0.044905759394168854,,
9791,152,,,,0.23364558815956116,
9792,,,0.001,,,
9799,,,0.001,,,
9799,153,0.21334396302700043,,,,
9849,,,0.001,,,
9849,153,0.23391321301460266,,,,
9855,153,,,0.04009465500712395,,
9855,153,,,,0.23258335888385773,
9856,,,0.001,,,
9899,,,0.001,,,
9899,154,0.2712109386920929,,,,
9919,154,,,0.03779961168766022,,
9919,154,,,,0.23373891413211823,
9920,,,0.001,,,
9949,,,0.001,,,
9949,155,0.15536245703697205,,,,
9983,155,,,0.0416068509221077,,
9983,155,,,,0.2327292412519455,
9984,,,0.001,,,
9999,,,0.001,,,
9999,156,0.23136550188064575,,,,
10047,156,,,0.03894400596618652,,
10047,156,,,,0.23661361634731293,
10048,,,0.001,,,
10049,,,0.001,,,
10049,157,0.31486934423446655,,,,
10099,,,0.001,,,
10099,157,0.2916357219219208,,,,
10111,157,,,0.039405323565006256,,
10111,157,,,,0.23213177919387817,
10112,,,0.001,,,
10149,,,0.001,,,
10149,158,0.2682833969593048,,,,
10175,158,,,0.03766685724258423,,
10175,158,,,,0.23227685689926147,
10176,,,0.001,,,
10199,,,0.001,,,
10199,159,0.193929523229599,,,,
10239,159,,,0.03804854676127434,,
10239,159,,,,0.23192982375621796,
10240,,,0.001,,,
10249,,,0.001,,,
10249,160,0.2093885987997055,,,,
10299,,,0.001,,,
