lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch,test_loss
0.001,9408,,,,,
0.001,9449,,,,,
,9449,0.18523481488227844,147,,,
,9471,,147,0.18477953970432281,,
,9471,,147,,0.18485212326049805,
0.001,9472,,,,,
0.001,9499,,,,,
,9499,0.18474209308624268,148,,,
,9535,,148,0.18441589176654816,,
,9535,,148,,0.18495675921440125,
0.001,9536,,,,,
0.001,9549,,,,,
,9549,0.18458771705627441,149,,,
0.001,9599,,,,,
,9599,0.18570084869861603,149,,,
,9599,,149,0.18422666192054749,,
,9599,,149,,0.1848725825548172,
0.001,9600,,,,,
0.001,9649,,,,,
,9649,0.18672052025794983,150,,,
,9663,,150,0.18421748280525208,,
,9663,,150,,0.1847909390926361,
0.001,9664,,,,,
0.001,9699,,,,,
,9699,0.18445074558258057,151,,,
,9727,,151,0.18425434827804565,,
,9727,,151,,0.18478509783744812,
0.001,9728,,,,,
0.001,9749,,,,,
,9749,0.18682710826396942,152,,,
,9791,,152,0.18425512313842773,,
,9791,,152,,0.18482883274555206,
0.001,9792,,,,,
0.001,9799,,,,,
,9799,0.18666763603687286,153,,,
0.001,9849,,,,,
,9849,0.18295273184776306,153,,,
,9855,,153,0.18420159816741943,,
,9855,,153,,0.18480047583580017,
0.001,9856,,,,,
0.001,9899,,,,,
,9899,0.18559609353542328,154,,,
,9919,,154,0.1842736154794693,,
,9919,,154,,0.18482349812984467,
0.001,9920,,,,,
0.001,9949,,,,,
,9949,0.1848829686641693,155,,,
,9983,,155,0.18456971645355225,,
,9983,,155,,0.18489457666873932,
0.001,9984,,,,,
0.001,9999,,,,,
,9999,0.1850287914276123,156,,,
,10047,,156,0.18418778479099274,,
,10047,,156,,0.18482904136180878,
0.001,10048,,,,,
0.001,10049,,,,,
,10049,0.18348689377307892,157,,,
0.001,10099,,,,,
,10099,0.18515074253082275,157,,,
,10111,,157,0.18424473702907562,,
,10111,,157,,0.18479971587657928,
0.001,10112,,,,,
0.001,10149,,,,,
,10149,0.18387097120285034,158,,,
,10175,,158,0.18424004316329956,,
,10175,,158,,0.18482492864131927,
0.001,10176,,,,,
0.001,10199,,,,,
,10199,0.18369057774543762,159,,,
,10239,,159,0.18421970307826996,,
,10239,,159,,0.18481656908988953,
0.001,10240,,,,,
0.001,10249,,,,,
,10249,0.18433281779289246,160,,,
0.001,10299,,,,,
