step,train_loss_step,lr-AdamW,epoch,val_loss,train_loss_epoch,test_loss
8447,,,131,0.043785978108644485,,
8447,,,131,,0.2375032603740692,
8448,,0.001,,,,
8449,,0.001,,,,
8449,0.2773936688899994,,132,,,
8499,,0.001,,,,
8499,0.2796005308628082,,132,,,
8511,,,132,0.04371829703450203,,
8511,,,132,,0.2378983199596405,
8512,,0.001,,,,
8549,,0.001,,,,
8549,0.27912986278533936,,133,,,
8575,,,133,0.04372153803706169,,
8575,,,133,,0.23962776362895966,
8576,,0.001,,,,
8599,,0.001,,,,
8599,0.2295875996351242,,134,,,
8639,,,134,0.0478777177631855,,
8639,,,134,,0.2380528748035431,
8640,,0.001,,,,
8649,,0.001,,,,
8649,0.1979888379573822,,135,,,
8699,,0.001,,,,
8699,0.16768556833267212,,135,,,
8703,,,135,0.04544501379132271,,
8703,,,135,,0.236627995967865,
8704,,0.001,,,,
8749,,0.001,,,,
8749,0.27026107907295227,,136,,,
8767,,,136,0.04344480112195015,,
8767,,,136,,0.23795318603515625,
8768,,0.001,,,,
8799,,0.001,,,,
8799,0.16877055168151855,,137,,,
8831,,,137,0.0436372347176075,,
8831,,,137,,0.2362794578075409,
8832,,0.001,,,,
8849,,0.001,,,,
8849,0.17667227983474731,,138,,,
8895,,,138,0.04396072402596474,,
8895,,,138,,0.23821642994880676,
8896,,0.001,,,,
8899,,0.001,,,,
8899,0.2683131992816925,,139,,,
8949,,0.001,,,,
8949,0.29510655999183655,,139,,,
8959,,,139,0.04442350193858147,,
8959,,,139,,0.23869900405406952,
8960,,0.001,,,,
8999,,0.001,,,,
8999,0.28740590810775757,,140,,,
9023,,,140,0.04504101723432541,,
9023,,,140,,0.23768462240695953,
9024,,0.001,,,,
9049,,0.001,,,,
9049,0.1985953450202942,,141,,,
9087,,,141,0.04742523282766342,,
9087,,,141,,0.2371452897787094,
9088,,0.001,,,,
9099,,0.001,,,,
9099,0.26568207144737244,,142,,,
9149,,0.001,,,,
9149,0.25501713156700134,,142,,,
9151,,,142,0.043619051575660706,,
9151,,,142,,0.23783956468105316,
9152,,0.001,,,,
9199,,0.001,,,,
9199,0.2740676701068878,,143,,,
9215,,,143,0.04427572339773178,,
9215,,,143,,0.23653535544872284,
9216,,0.001,,,,
9249,,0.001,,,,
9249,0.36409851908683777,,144,,,
9279,,,144,0.0448947474360466,,
9279,,,144,,0.23661798238754272,
9280,,0.001,,,,
9299,,0.001,,,,
9299,0.32050734758377075,,145,,,
9343,,,145,0.04370051994919777,,
9343,,,145,,0.23570752143859863,
9344,,0.001,,,,
9349,,0.001,,,,
9349,0.15492717921733856,,146,,,
9399,,0.001,,,,
9399,0.2661784887313843,,146,,,
9407,,,146,0.04398847743868828,,
9407,,,146,,0.23397387564182281,
9408,,0.001,,,,
9449,,0.001,,,,
9449,0.2646948993206024,,147,,,
9471,,,147,0.04543224349617958,,
9471,,,147,,0.23698243498802185,
9472,,0.001,,,,
9499,,0.001,,,,
9499,0.2054823935031891,,148,,,
9535,,,148,0.045821841806173325,,
9535,,,148,,0.23708869516849518,
9536,,0.001,,,,
9549,,0.001,,,,
9549,0.21179431676864624,,149,,,
9599,,0.001,,,,
9599,0.19377242028713226,,149,,,
9599,,,149,0.04445180296897888,,
9599,,,149,,0.23496508598327637,
9600,,0.001,,,,
9649,,0.001,,,,
9649,0.2059069275856018,,150,,,
9663,,,150,0.0465928316116333,,
9663,,,150,,0.2354784458875656,
9664,,0.001,,,,
9699,,0.001,,,,
9699,0.2036793828010559,,151,,,
9727,,,151,0.04597390070557594,,
9727,,,151,,0.24018146097660065,
9728,,0.001,,,,
9749,,0.001,,,,
9749,0.30151548981666565,,152,,,
9791,,,152,0.044183362275362015,,
9791,,,152,,0.23777204751968384,
9792,,0.001,,,,
9799,,0.001,,,,
9799,0.2560305893421173,,153,,,
9849,,0.001,,,,
9849,0.25265321135520935,,153,,,
9855,,,153,0.044692475348711014,,
9855,,,153,,0.23708809912204742,
9856,,0.001,,,,
9899,,0.001,,,,
9899,0.14189663529396057,,154,,,
9919,,,154,0.04420938342809677,,
9919,,,154,,0.23577938973903656,
9920,,0.001,,,,
9949,,0.001,,,,
9949,0.2633665204048157,,155,,,
9983,,,155,0.045642342418432236,,
9983,,,155,,0.23731499910354614,
9984,,0.001,,,,
9999,,0.001,,,,
9999,0.24302420020103455,,156,,,
10047,,,156,0.04400566965341568,,
10047,,,156,,0.23761248588562012,
10048,,0.001,,,,
10049,,0.001,,,,
10049,0.3222576677799225,,157,,,
10099,,0.001,,,,
10099,0.34691759943962097,,157,,,
10111,,,157,0.04417196288704872,,
10111,,,157,,0.233894944190979,
10112,,0.001,,,,
10149,,0.001,,,,
10149,0.3281889855861664,,158,,,
10175,,,158,0.04381643980741501,,
10175,,,158,,0.23644040524959564,
10176,,0.001,,,,
10199,,0.001,,,,
10199,0.27250146865844727,,159,,,
10239,,,159,0.04504602402448654,,
10239,,,159,,0.23615197837352753,
10240,,0.001,,,,
10249,,0.001,,,,
10249,0.2538355886936188,,160,,,
10299,,0.001,,,,
